,n,alcohol-use,alcohol-frequency,marijuana-use,marijuana-frequency,cocaine-use,crack-use,heroin-use,hallucinogen-use,hallucinogen-frequency,inhalant-use,pain-releiver-use,pain-releiver-frequency,oxycontin-use,tranquilizer-use,tranquilizer-frequency,stimulant-use,stimulant-frequency,meth-use,sedative-use,sedative-frequency
n,1684519.5588235294,10832.454411764704,8672.47794117647,-2623.4077205882354,3231.628676470588,-50.848529411764716,86.23161764705883,3.3779411764705927,-1070.2808823529413,170.2242647058824,-443.36801470588233,-343.51066176470584,-1008.7941176470588,-131.07095588235293,-161.7691176470589,-1524.9522058823527,-368.36360294117645,-12809.040441176472,-21.680147058823533,-21.49264705882354,8273.788602941177
alcohol-use,10832.454411764704,722.473455882353,514.5139705882353,191.00301470588235,454.2893382352941,37.77011029411765,5.560183823529412,6.078970588235295,34.80518382352942,-139.76286764705878,-16.15713235294118,52.55654411764707,-49.159558823529416,9.632647058823528,34.67669117647059,-169.9448529411765,22.03007352941177,-64.97022058823535,4.820551470588235,1.1805514705882354,60.909926470588246
alcohol-frequency,8672.47794117647,514.5139705882353,454.4926470588237,66.3474264705882,320.5220588235294,22.371323529411764,3.945955882352942,3.88639705882353,10.845955882352944,-55.84191176470589,-17.08308823529412,18.94852941176471,1.0477941176470535,3.261764705882352,16.766544117647058,-101.61948529411767,8.755882352941176,477.10110294117646,2.3816176470588233,0.08786764705882345,106.63786764705883
marijuana-use,-2623.4077205882354,191.00301470588235,66.3474264705882,143.03566176470588,135.1952205882353,19.203088235294118,1.7501470588235295,2.8405514705882355,32.040147058823536,-85.80404411764707,1.4121691176470585,36.59011029411764,-42.04264705882352,7.068492647058823,19.61110294117647,-55.18713235294118,16.29830882352941,-400.1286764705883,2.7354411764705886,1.0179411764705883,-82.31268382352943
marijuana-frequency,3231.628676470588,454.2893382352941,320.5220588235294,135.1952205882353,337.1838235294118,24.773529411764706,3.8621323529411757,3.8720588235294113,27.112132352941174,-104.78676470588235,-9.838235294117649,35.598161764705885,-36.33088235294118,6.808455882352941,24.737867647058827,-124.73529411764706,14.507352941176467,-109.6470588235294,3.20514705882353,1.0113970588235293,22.242647058823533
cocaine-use,-50.848529411764716,37.77011029411765,22.371323529411764,19.203088235294118,24.773529411764706,3.300661764705883,0.3579779411764706,0.5456985294117648,4.34110294117647,-10.03970588235294,-0.36154411764705896,5.215514705882352,-3.451102941176471,0.9565073529411765,2.9320220588235295,-6.1534926470588225,2.362941176470588,-48.30882352941177,0.4245588235294117,0.11580882352941177,-7.218566176470588
crack-use,86.23161764705883,5.560183823529412,3.945955882352942,1.7501470588235295,3.8621323529411757,0.3579779411764706,0.055588235294117654,0.05908088235294118,0.3662132352941176,-0.7036764705882355,-0.11882352941176472,0.48731617647058817,-0.3330882352941177,0.08647058823529413,0.3194117647058824,-0.936029411764706,0.20511029411764706,-5.964705882352942,0.04301470588235294,0.014264705882352941,0.5367647058823531
heroin-use,3.3779411764705927,6.078970588235295,3.88639705882353,2.8405514705882355,3.8720588235294113,0.5456985294117648,0.05908088235294118,0.11139705882352939,0.6372058823529411,-1.516911764705882,-0.06683823529411763,0.8516544117647059,-0.3147058823529413,0.15738970588235293,0.47904411764705884,-0.6726102941176472,0.3796323529411764,-7.97702205882353,0.07161764705882354,0.01536764705882353,-0.19650735294117647
hallucinogen-use,-1070.2808823529413,34.80518382352942,10.845955882352944,32.040147058823536,27.112132352941174,4.34110294117647,0.3662132352941176,0.6372058823529411,7.7980882352941165,-17.92242647058823,0.4480514705882353,8.040441176470587,-8.133088235294117,1.5570955882352944,4.225036764705883,-10.079779411764708,3.6951102941176472,-76.79283088235294,0.5723897058823529,0.19988970588235289,-21.688235294117646
hallucinogen-frequency,170.2242647058824,-139.76286764705878,-55.84191176470589,-85.80404411764707,-104.78676470588235,-10.03970588235294,-0.7036764705882355,-1.516911764705882,-17.92242647058823,225.00735294117652,-1.9136029411764706,-23.187132352941173,56.94117647058824,-4.034191176470588,-12.046323529411765,121.58455882352942,-9.551470588235293,-134.09558823529412,-1.704779411764706,-0.4797794117647058,198.5827205882353
inhalant-use,-443.36801470588233,-16.15713235294118,-17.08308823529412,1.4121691176470585,-9.838235294117649,-0.36154411764705896,-0.11882352941176472,-0.06683823529411763,0.4480514705882353,-1.9136029411764706,0.8598529411764707,0.2702573529411763,-2.2036764705882352,0.062316176470588215,-0.16867647058823534,1.6841911764705884,0.14147058823529404,-33.46066176470588,-0.014595588235294124,0.014154411764705879,-6.751470588235295
pain-releiver-use,-343.51066176470584,52.55654411764707,18.94852941176471,36.59011029411764,35.598161764705885,5.215514705882352,0.48731617647058817,0.8516544117647059,8.040441176470587,-23.187132352941173,0.2702573529411763,10.025955882352939,-10.290441176470589,1.8804779411764707,5.325808823529412,-12.795772058823529,4.285551470588236,-128.3360294117647,0.7638235294117647,0.2781985294117647,-21.328676470588235
pain-releiver-frequency,-1008.7941176470588,-49.159558823529416,1.0477941176470535,-42.04264705882352,-36.33088235294118,-3.451102941176471,-0.3330882352941177,-0.3147058823529413,-8.133088235294117,56.94117647058824,-2.2036764705882352,-10.290441176470589,48.09558823529413,-2.001470588235294,-5.035661764705882,55.698529411764696,-4.000735294117648,193.60845588235296,-0.799264705882353,-0.36176470588235293,-7.786764705882355
oxycontin-use,-131.07095588235293,9.632647058823528,3.261764705882352,7.068492647058823,6.808455882352941,0.9565073529411765,0.08647058823529413,0.15738970588235293,1.5570955882352944,-4.034191176470588,0.062316176470588215,1.8804779411764707,-2.001470588235294,0.36992647058823536,1.018529411764706,-2.4806985294117645,0.8112132352941176,-21.249264705882354,0.14316176470588235,0.052536764705882345,-2.9955882352941177
tranquilizer-use,-161.7691176470589,34.67669117647059,16.766544117647058,19.61110294117647,24.737867647058827,2.9320220588235295,0.3194117647058824,0.47904411764705884,4.225036764705883,-12.046323529411765,-0.16867647058823534,5.325808823529412,-5.035661764705882,1.018529411764706,3.074338235294118,-7.832720588235292,2.245514705882353,-57.95091911764706,0.4313602941176471,0.16323529411764706,-9.755514705882355
tranquilizer-frequency,-1524.9522058823527,-169.9448529411765,-101.61948529411767,-55.18713235294118,-124.73529411764706,-6.1534926470588225,-0.936029411764706,-0.6726102941176472,-10.079779411764708,121.58455882352942,1.6841911764705884,-12.795772058823529,55.698529411764696,-2.4806985294117645,-7.832720588235292,131.90992647058823,-5.301286764705883,-178.14613970588235,-1.0487132352941175,-0.3893382352941175,-4.142463235294119
