,,0
n,n,1684519.5588235294
n,alcohol-use,10832.454411764704
n,alcohol-frequency,8672.47794117647
n,marijuana-use,-2623.4077205882354
n,marijuana-frequency,3231.628676470588
n,cocaine-use,-50.848529411764716
n,crack-use,86.23161764705883
n,heroin-use,3.3779411764705927
n,hallucinogen-use,-1070.2808823529413
n,hallucinogen-frequency,170.2242647058824
n,inhalant-use,-443.36801470588233
n,pain-releiver-use,-343.51066176470584
n,pain-releiver-frequency,-1008.7941176470588
n,oxycontin-use,-131.07095588235293
n,tranquilizer-use,-161.7691176470589
n,tranquilizer-frequency,-1524.9522058823527
n,stimulant-use,-368.36360294117645
n,stimulant-frequency,-12809.040441176472
n,meth-use,-21.680147058823533
n,sedative-use,-21.49264705882354
n,sedative-frequency,8273.788602941177
alcohol-use,n,10832.454411764704
alcohol-use,alcohol-use,722.473455882353
alcohol-use,alcohol-frequency,514.5139705882353
alcohol-use,marijuana-use,191.00301470588235
alcohol-use,marijuana-frequency,454.2893382352941
alcohol-use,cocaine-use,37.77011029411765
alcohol-use,crack-use,5.560183823529412
alcohol-use,heroin-use,6.078970588235295
alcohol-use,hallucinogen-use,34.80518382352942
alcohol-use,hallucinogen-frequency,-139.76286764705878
alcohol-use,inhalant-use,-16.15713235294118
alcohol-use,pain-releiver-use,52.55654411764707
alcohol-use,pain-releiver-frequency,-49.159558823529416
alcohol-use,oxycontin-use,9.632647058823528
alcohol-use,tranquilizer-use,34.67669117647059
alcohol-use,tranquilizer-frequency,-169.9448529411765
alcohol-use,stimulant-use,22.03007352941177
alcohol-use,stimulant-frequency,-64.97022058823535
alcohol-use,meth-use,4.820551470588235
alcohol-use,sedative-use,1.1805514705882354
alcohol-use,sedative-frequency,60.909926470588246
alcohol-frequency,n,8672.47794117647
alcohol-frequency,alcohol-use,514.5139705882353
alcohol-frequency,alcohol-frequency,454.4926470588237
alcohol-frequency,marijuana-use,66.3474264705882
alcohol-frequency,marijuana-frequency,320.5220588235294
alcohol-frequency,cocaine-use,22.371323529411764
alcohol-frequency,crack-use,3.945955882352942
alcohol-frequency,heroin-use,3.88639705882353
alcohol-frequency,hallucinogen-use,10.845955882352944
alcohol-frequency,hallucinogen-frequency,-55.84191176470589
alcohol-frequency,inhalant-use,-17.08308823529412
alcohol-frequency,pain-releiver-use,18.94852941176471
alcohol-frequency,pain-releiver-frequency,1.0477941176470535
alcohol-frequency,oxycontin-use,3.261764705882352
alcohol-frequency,tranquilizer-use,16.766544117647058
alcohol-frequency,tranquilizer-frequency,-101.61948529411767
alcohol-frequency,stimulant-use,8.755882352941176
alcohol-frequency,stimulant-frequency,477.10110294117646
alcohol-frequency,meth-use,2.3816176470588233
alcohol-frequency,sedative-use,0.08786764705882345
alcohol-frequency,sedative-frequency,106.63786764705883
marijuana-use,n,-2623.4077205882354
marijuana-use,alcohol-use,191.00301470588235
marijuana-use,alcohol-frequency,66.3474264705882
marijuana-use,marijuana-use,143.03566176470588
marijuana-use,marijuana-frequency,135.1952205882353
marijuana-use,cocaine-use,19.203088235294118
marijuana-use,crack-use,1.7501470588235295
marijuana-use,heroin-use,2.8405514705882355
marijuana-use,hallucinogen-use,32.040147058823536
marijuana-use,hallucinogen-frequency,-85.80404411764707
marijuana-use,inhalant-use,1.4121691176470585
marijuana-use,pain-releiver-use,36.59011029411764
marijuana-use,pain-releiver-frequency,-42.04264705882352
marijuana-use,oxycontin-use,7.068492647058823
marijuana-use,tranquilizer-use,19.61110294117647
marijuana-use,tranquilizer-frequency,-55.18713235294118
marijuana-use,stimulant-use,16.29830882352941
marijuana-use,stimulant-frequency,-400.1286764705883
marijuana-use,meth-use,2.7354411764705886
marijuana-use,sedative-use,1.0179411764705883
marijuana-use,sedative-frequency,-82.31268382352943
marijuana-frequency,n,3231.628676470588
marijuana-frequency,alcohol-use,454.2893382352941
marijuana-frequency,alcohol-frequency,320.5220588235294
marijuana-frequency,marijuana-use,135.1952205882353
marijuana-frequency,marijuana-frequency,337.1838235294118
marijuana-frequency,cocaine-use,24.773529411764706
marijuana-frequency,crack-use,3.8621323529411757
marijuana-frequency,heroin-use,3.8720588235294113
marijuana-frequency,hallucinogen-use,27.112132352941174
marijuana-frequency,hallucinogen-frequency,-104.78676470588235
marijuana-frequency,inhalant-use,-9.838235294117649
marijuana-frequency,pain-releiver-use,35.598161764705885
marijuana-frequency,pain-releiver-frequency,-36.33088235294118
marijuana-frequency,oxycontin-use,6.808455882352941
marijuana-frequency,tranquilizer-use,24.737867647058827
marijuana-frequency,tranquilizer-frequency,-124.73529411764706
marijuana-frequency,stimulant-use,14.507352941176467
marijuana-frequency,stimulant-frequency,-109.6470588235294
marijuana-frequency,meth-use,3.20514705882353
marijuana-frequency,sedative-use,1.0113970588235293
marijuana-frequency,sedative-frequency,22.242647058823533
cocaine-use,n,-50.848529411764716
cocaine-use,alcohol-use,37.77011029411765
cocaine-use,alcohol-frequency,22.371323529411764
cocaine-use,marijuana-use,19.203088235294118
cocaine-use,marijuana-frequency,24.773529411764706
cocaine-use,cocaine-use,3.300661764705883
cocaine-use,crack-use,0.3579779411764706
cocaine-use,heroin-use,0.5456985294117648
cocaine-use,hallucinogen-use,4.34110294117647
cocaine-use,hallucinogen-frequency,-10.03970588235294
cocaine-use,inhalant-use,-0.36154411764705896
cocaine-use,pain-releiver-use,5.215514705882352
cocaine-use,pain-releiver-frequency,-3.451102941176471
cocaine-use,oxycontin-use,0.9565073529411765
cocaine-use,tranquilizer-use,2.9320220588235295
cocaine-use,tranquilizer-frequency,-6.1534926470588225
cocaine-use,stimulant-use,2.362941176470588
cocaine-use,stimulant-frequency,-48.30882352941177
cocaine-use,meth-use,0.4245588235294117
cocaine-use,sedative-use,0.11580882352941177
cocaine-use,sedative-frequency,-7.218566176470588
crack-use,n,86.23161764705883
crack-use,alcohol-use,5.560183823529412
crack-use,alcohol-frequency,3.945955882352942
crack-use,marijuana-use,1.7501470588235295
crack-use,marijuana-frequency,3.8621323529411757
crack-use,cocaine-use,0.3579779411764706
crack-use,crack-use,0.055588235294117654
crack-use,heroin-use,0.05908088235294118
crack-use,hallucinogen-use,0.3662132352941176
crack-use,hallucinogen-frequency,-0.7036764705882355
crack-use,inhalant-use,-0.11882352941176472
crack-use,pain-releiver-use,0.48731617647058817
crack-use,pain-releiver-frequency,-0.3330882352941177
crack-use,oxycontin-use,0.08647058823529413
